MJD,flux,d_flux,uJy,d_uJy,m,d_m,ZP,d_ZP,Method,Sector
58765.88653564453,-2.470975526535155,2.9243896743237143,-53.92561188099616,63.83864505258545,,1.2853248350571165,20.55268340592652,0.0304344298453191,aperture,17
58765.90740966797,-0.9054110195094405,4.765804666435978,-19.75933905719664,104.00854810429139,,5.715061923593412,20.55268340592652,0.0304344298453191,aperture,17
58765.92822265625,-0.3457297272957419,3.704563596362501,-7.545071527282717,80.84723628774879,,11.633921716293752,20.55268340592652,0.0304344298453191,aperture,17
58765.94903564453,-0.4656609307552426,4.700689503825008,-10.162403613629387,102.58642075787127,,10.960181800296846,20.55268340592652,0.0304344298453191,aperture,17
58765.96990966797,-3.6607324740323053,3.196726852454658,-79.89040622819635,69.80006072889864,,0.9486051780887572,20.55268340592652,0.0304344298453191,aperture,17
58765.99072265625,3.0415843136423693,3.0484399636534367,66.37835682281936,66.55398637244133,19.34493375657415,1.0886089387301217,20.55268340592652,0.0304344298453191,aperture,17
58766.01153564453,0.7210426952892766,3.560341976568123,15.735756229977257,77.70077493565675,20.90778095224324,5.3612005201689295,20.55268340592652,0.0304344298453191,aperture,17
58766.03240966797,-0.6490543627025207,3.408446598070551,-14.16471076985613,74.38567677879782,,5.701720543849633,20.55268340592652,0.0304344298453191,aperture,17
58766.05322265625,-1.6154927243741424,4.389540915510305,-35.25588688178117,95.80073659762812,,2.9502683768903406,20.55268340592652,0.0304344298453191,aperture,17
58766.07403564453,-2.412738988635247,3.775940714105676,-52.65468025647822,82.417883379654,,1.6994515866196762,20.55268340592652,0.0304344298453191,aperture,17
58766.09490966797,-3.614515975680653,6.66354324662416,-78.8817952865475,145.43939357319059,,2.0018410411027956,20.55268340592652,0.0304344298453191,aperture,17
58766.11572265625,-5.1215380106120385,1.9676361997146183,-111.77045989658232,43.055074720358284,,0.4182362089742898,20.55268340592652,0.0304344298453191,aperture,17
58766.13653564453,-1.6412553379502932,4.7502306172120985,-35.818120172167355,103.67205319798215,,3.1425574831290493,20.55268340592652,0.0304344298453191,aperture,17
58766.15740966797,-0.9358232855747577,3.010092493396481,-20.423044560811856,65.6935860153944,,3.4924227161589614,20.55268340592652,0.0304344298453191,aperture,17
58766.17822265625,-2.098146731165945,4.161591933032724,-45.78914079852818,90.83003807350919,,2.153730318939249,20.55268340592652,0.0304344298453191,aperture,17
58766.19903564453,-0.9895790761748717,2.3788432407031666,-21.596190093468188,51.91848197795756,,2.610172226470637,20.55268340592652,0.0304344298453191,aperture,17
58766.21990966797,3.420066126339499,3.579698423960825,74.63819716374752,78.149961178371,19.217597148076592,1.1368206290627318,20.55268340592652,0.0304344298453191,aperture,17
58766.24072265625,-0.6385762125346162,3.528379562403498,-13.936039683025285,77.00297848935809,,5.999187970305655,20.55268340592652,0.0304344298453191,aperture,17
58766.26153564453,4.078594140180712,3.5695182689745115,89.00965722307049,77.93972924850944,19.026407178579834,0.9507056703080929,20.55268340592652,0.0304344298453191,aperture,17
58766.28240966797,-0.3459650324007221,3.2797928333940174,-7.550206734664788,71.57724009586504,,10.292963324029593,20.55268340592652,0.0304344298453191,aperture,17
58766.30322265625,-1.229896356935341,4.438696264735076,-26.84078125652076,96.87130819545169,,3.918540429389809,20.55268340592652,0.0304344298453191,aperture,17
58766.32403564453,1.998489141080056,3.250874763958789,43.6142521902615,70.95636340367165,19.80092892383804,1.7663926087569854,20.55268340592652,0.0304344298453191,aperture,17
58766.34490966797,-0.14981461497448245,3.2663204110597874,-3.2694960732950324,71.28296919675175,,23.67169089809393,20.55268340592652,0.0304344298453191,aperture,17
58766.36572265625,-0.30917076319922954,3.564467718430412,-6.747222868941605,77.78979144592988,,12.517623113089625,20.55268340592652,0.0304344298453191,aperture,17
58766.38653564453,-1.8425896088012923,3.171306718371043,-40.21196124087203,69.21854672237933,,1.8689235714482553,20.55268340592652,0.0304344298453191,aperture,17
58766.40740966797,2.601147895153995,2.965992673603598,56.76644318522706,64.74822985063696,19.514770791273765,1.2383988391425658,20.55268340592652,0.0304344298453191,aperture,17
58766.42822265625,-0.8681208246485306,3.725625730543784,-18.945532302155296,81.30834584122101,,4.659642886822759,20.55268340592652,0.0304344298453191,aperture,17
58766.44903564453,-0.4602358673088778,4.721013889072483,-10.04400913230133,103.02996143655619,,11.137321544915032,20.55268340592652,0.0304344298453191,aperture,17
58766.46990966797,2.162454705791811,2.7047188825409894,47.19257310422571,59.041557880714315,19.715315856891543,1.358339941219993,20.55268340592652,0.0304344298453191,aperture,17
58766.49072265625,1.029071371103482,2.998936198871608,22.458054626621333,65.45064845611194,20.521569665323838,3.164216128028375,20.55268340592652,0.0304344298453191,aperture,17
58766.51153564453,-5.386064314511765,4.346274709921379,-117.54337939466144,94.9086243721731,,0.8766612816079903,20.55268340592652,0.0304344298453191,aperture,17
58766.53234863281,3.439989103504834,3.8594939593059023,75.07298849316157,84.25438399712205,19.21129073866573,1.2185212944280501,20.55268340592652,0.0304344298453191,aperture,17
58766.55316162109,-0.9689213200672635,3.524284600912832,-21.145363233295598,76.91490465132168,,3.949295916277532,20.55268340592652,0.0304344298453191,aperture,17
58766.57403564453,-1.7371760171059032,1.949094119734332,-37.911455885111494,42.549547283079434,,1.218565283309256,20.55268340592652,0.0304344298453191,aperture,17
58766.59484863281,1.4531751281192797,4.441503834158345,31.71353059249421,96.93373406638811,20.146888515755,3.3185981684165657,20.55268340592652,0.0304344298453191,aperture,17
58766.61566162109,-0.23647579816566688,3.444995790772543,-5.160756136266453,75.18239167042665,,15.8171094393044,20.55268340592652,0.0304344298453191,aperture,17
58766.63653564453,-0.8316463079131511,2.9835009776522714,-18.149526590282868,65.11275618932393,,3.895158170361741,20.55268340592652,0.0304344298453191,aperture,17
58766.65734863281,3.263062891304794,2.5718853439108487,71.21181943332371,56.16331324908581,19.2686197950981,0.856298056403392,20.55268340592652,0.0304344298453191,aperture,17
58766.67816162109,-1.1021227774769518,4.110792360147564,-24.052300196904447,89.71487210888885,,4.049786671397119,20.55268340592652,0.0304344298453191,aperture,17
58766.69903564453,0.5359571742609522,5.231158907798454,11.696521577677528,114.16325465971573,21.229858184144263,10.597268428387533,20.55268340592652,0.0304344298453191,aperture,17
58766.71984863281,0.39528935625032974,3.4742204230756504,8.626641655060856,75.82042515143162,21.560395604726203,9.542645207566867,20.55268340592652,0.0304344298453191,aperture,17
58766.74066162109,-4.017018581012849,4.121492505453638,-87.66585609295669,89.97941672025212,,1.11438951001182,20.55268340592652,0.0304344298453191,aperture,17
58766.76153564453,0.27935775671873053,3.23764905499543,6.096595374169394,70.65740438896164,21.937281569439115,12.583302215588382,20.55268340592652,0.0304344298453191,aperture,17
58766.78234863281,-0.8948693088428652,5.0079006999329225,-19.52928085068554,109.29185429140811,,6.076113298619826,20.55268340592652,0.0304344298453191,aperture,17
58766.80316162109,-0.29532041087771865,3.874185702863233,-6.4449581497308275,84.54891974928486,,14.243354434942628,20.55268340592652,0.0304344298453191,aperture,17
58766.82403564453,-2.38258216229895,5.501483245610347,-51.99654937047383,120.07108403772281,,2.5071956632249033,20.55268340592652,0.0304344298453191,aperture,17
58766.84484863281,1.8605961696238111,3.278830980381141,40.60492944302508,71.56498791970812,19.878553099557575,1.9135779680772802,20.55268340592652,0.0304344298453191,aperture,17
58766.86566162109,-1.0837148244542145,2.652656026950634,-23.650572166995683,57.894332569878586,,2.6577781069137547,20.55268340592652,0.0304344298453191,aperture,17
58766.88653564453,1.3786666499056768,4.629329668612003,30.087486451286384,101.03221610387209,20.20403523071068,3.645845758784921,20.55268340592652,0.0304344298453191,aperture,17
58766.90734863281,-1.5082785036210038,3.418110272886448,-32.91608529557759,74.60121946796676,,2.4607192552864365,20.55268340592652,0.0304344298453191,aperture,17
58766.92816162109,1.7127659719480741,3.0902710442505112,37.37874052348893,67.44901579137527,19.968438340653673,1.959184215262143,20.55268340592652,0.0304344298453191,aperture,17
58766.94903564453,-1.1255034734294753,3.3655681905830392,-24.562551440554483,73.45208238098701,,3.24679564942273,20.55268340592652,0.0304344298453191,aperture,17
58766.96984863281,-0.7092718667793101,3.4156737426095374,-15.47887423218739,74.543602252706,,5.22871925857203,20.55268340592652,0.0304344298453191,aperture,17
58766.99066162109,-1.7798328682318516,4.117304787226357,-38.84238246580039,89.86105978873037,,2.5118285701569163,20.55268340592652,0.0304344298453191,aperture,17
58767.01153564453,2.033024004394003,4.146952454420595,44.367927657878354,90.51002760420195,19.78232713971225,2.2148885253623076,20.55268340592652,0.0304344298453191,aperture,17
58767.03234863281,0.2996283396991761,4.969673277292203,6.538972718123829,108.45637772271725,21.86122618648795,18.008182784445623,20.55268340592652,0.0304344298453191,aperture,17
58767.05316162109,3.2762641406332076,1.9557275563242211,71.49991838047376,42.728071417342285,19.26423613490045,0.648831707057847,20.55268340592652,0.0304344298453191,aperture,17
58767.07403564453,3.946467192898101,5.148476378114046,86.12616995188179,112.38428620490403,19.062162163793662,1.416755075103602,20.55268340592652,0.0304344298453191,aperture,17
58767.09484863281,-1.3878599002372796,2.042902745722868,-30.288116382252152,44.59160066395649,,1.5984723070247986,20.55268340592652,0.0304344298453191,aperture,17
