MJD,flux,d_flux,uJy,d_uJy,m,d_m,ZP,d_ZP,Method,Sector
58765.88653564453,0.5993796036242475,2.366500278077622,15.219952763008187,60.09394523936477,20.943966738623985,4.286884003458301,20.38822163910136,0.0329290038394065,psf,17
58765.90740966797,0.3768354777978278,2.358163451729048,9.568924495976187,59.88117988417115,21.44784218056076,6.794406728908588,20.38822163910136,0.0329290038394065,psf,17
58765.92822265625,-0.9954960043924237,2.3533220897438345,-25.278474727869668,59.76245845962001,,2.5668583857801237,20.38822163910136,0.0329290038394065,psf,17
58765.94903564453,0.035808467453323445,2.315984780066568,0.9092788274072848,58.809446659208625,24.003257303397035,70.22218432354897,20.38822163910136,0.0329290038394065,psf,17
58765.96990966797,0.39251622730846525,2.3535546735843886,9.967103321877781,59.76421113901201,21.40357759923357,6.510233283124992,20.38822163910136,0.0329290038394065,psf,17
58765.99072265625,-0.5332576791486348,2.299348330469715,-13.54092905076836,58.38843771289695,,4.681690637804497,20.38822163910136,0.0329290038394065,psf,17
58766.01153564453,-1.0162071246883506,2.3580719939925783,-25.804388974312065,59.883268462744525,,2.5196269012212,20.38822163910136,0.0329290038394065,psf,17
58766.03240966797,0.4157327910319192,1.0,10.55663790239023,25.394862357568435,21.341185936733023,2.6118279068962447,20.38822163910136,0.0329290038394065,psf,17
58766.05322265625,-0.4222978072372858,2.3660909863519373,-10.723342334656337,60.082659495705464,,6.083356910262518,20.38822163910136,0.0329290038394065,psf,17
58766.07403564453,0.6537642810761819,2.371769655528359,16.600934392754777,60.22808134844609,20.84966866691843,3.9390438463310224,20.38822163910136,0.0329290038394065,psf,17
58766.09490966797,-0.4112033984968317,2.36453537568717,-10.44162374439701,60.043113024062116,,6.243375863029942,20.38822163910136,0.0329290038394065,psf,17
58766.11572265625,-0.42387247664090294,2.3637402232591374,-10.763327669151353,60.02297439372777,,6.054736826727,20.38822163910136,0.0329290038394065,psf,17
58766.13653564453,-1.132630452927024,2.3547186375462896,-28.760708384566218,59.799365148178644,,2.2574665023817797,20.38822163910136,0.0329290038394065,psf,17
58766.15740966797,0.19440339960280117,2.369088687760263,4.936455196392909,60.158085737635844,22.16646200079666,13.231318647847033,20.38822163910136,0.0329290038394065,psf,17
58766.17822265625,0.7968218292490338,2.354371194087565,20.233572394476884,59.78732980229593,20.634818580982248,3.208196125064234,20.38822163910136,0.0329290038394065,psf,17
58766.19903564453,-3.0513003197172286,2.325966789349542,-77.48119297192794,59.10964058687769,,0.8282974793465776,20.38822163910136,0.0329290038394065,psf,17
58766.21990966797,-0.18844172872313755,2.35458709518049,-4.7850714178518485,59.78983888663275,,13.566358176742796,20.38822163910136,0.0329290038394065,psf,17
58766.24072265625,0.5617436492808742,2.2852620440463958,14.264268846116055,58.03091514165348,21.014376210952275,4.4170694091829015,20.38822163910136,0.0329290038394065,psf,17
58766.26153564453,-0.43910898126941406,1.0,-11.150225854069694,25.39509571027849,,2.4728086405427963,20.38822163910136,0.0329290038394065,psf,17
58766.28240966797,-0.4034321658639436,2.3719333243680287,-10.24429004657393,60.2309342061751,,6.383546894586377,20.38822163910136,0.0329290038394065,psf,17
58766.30322265625,-2.3316744990207097,2.327077806258397,-59.207846778939576,59.1184018074909,,1.0840959889908177,20.38822163910136,0.0329290038394065,psf,17
58766.32403564453,-0.12228484724651906,2.3866795552606987,-3.105160047939275,60.6046547617698,,21.190749216095625,20.38822163910136,0.0329290038394065,psf,17
58766.34490966797,0.5306026542427403,2.3367268418200187,13.473510417554982,59.337547201178594,21.076298093775197,4.781598952409842,20.38822163910136,0.0329290038394065,psf,17
58766.36572265625,2.7357421538738476,2.364121977678757,69.4682736982707,60.06874094249416,19.295533733260005,0.9388286672960231,20.38822163910136,0.0329290038394065,psf,17
58766.38653564453,0.6699360720447023,2.352911608873062,17.011582157786876,59.749345025371305,20.823138232658387,3.813403509616309,20.38822163910136,0.0329290038394065,psf,17
58766.40740966797,1.3779061404486828,2.365298597969458,34.98895565127549,60.07103193998696,20.040172550312956,1.8640537569759736,20.38822163910136,0.0329290038394065,psf,17
58766.42822265625,0.7639996468969071,2.315672681782456,19.400123838740942,58.8044587938512,20.680488744464363,3.2910166164091548,20.38822163910136,0.0329290038394065,psf,17
58766.44903564453,0.7580381481496936,2.3623033676602114,19.248744431132334,59.98844156630285,20.68899398414385,3.3836816270577406,20.38822163910136,0.0329290038394065,psf,17
58766.46990966797,0.9050248538508927,2.3469712432674106,22.981154916966783,59.60035018844097,20.49657037412127,2.815796605943349,20.38822163910136,0.0329290038394065,psf,17
58766.49072265625,0.021301648885711705,2.3375934922146278,0.5409094467918635,59.35814911664301,24.567188584231076,119.14617488307569,20.38822163910136,0.0329290038394065,psf,17
58766.51153564453,-1.2130391117884893,2.338569873616664,-30.802512914130354,59.39028783413514,,2.093406661082714,20.38822163910136,0.0329290038394065,psf,17
58766.53234863281,0.5016923048715791,2.342311480783123,12.739394426402598,59.47920491587805,21.13712803979808,5.069214755887931,20.38822163910136,0.0329290038394065,psf,17
58766.55316162109,2.0778831165385903,2.3619793064458814,52.76336179866999,59.998716171027304,19.59416885331747,1.234621452561301,20.38822163910136,0.0329290038394065,psf,17
58766.57403564453,0.670959280407001,2.365057581904903,17.037564328095534,60.05776115856486,20.821481228511786,3.8272422284587932,20.38822163910136,0.0329290038394065,psf,17
58766.59484863281,-0.0877187597627364,2.348648928201953,-2.2274287812694293,59.63891407191065,,29.0703472833056,20.38822163910136,0.0329290038394065,psf,17
58766.61566162109,-0.898010207397889,2.3560088013528246,-22.8030330939712,59.829761168912086,,2.8487147983964576,20.38822163910136,0.0329290038394065,psf,17
