MJD,flux,d_flux,uJy,d_uJy,m,d_m,ZP,d_ZP,Method,Sector
58765.88653564453,0.724356596013928,5.143177838194555,17.863778730881826,126.83896525449629,20.770066673194684,7.7091000076480976,20.41994772112777,0.0080618515686662,aperture,17
58765.90740966797,-1.8137508631383443,2.293243036532356,-44.72996348807503,56.55597371604509,,1.3727904847324501,20.41994772112777,0.0080618515686662,aperture,17
58765.92822265625,-2.8876821376567916,4.603616786533512,-71.21480640348706,113.5336988468954,,1.730927226000923,20.41994772112777,0.0080618515686662,aperture,17
58765.94903564453,-4.640623552675567,4.138696758632121,-114.44511277249566,102.07034205371086,,0.968337250189626,20.41994772112777,0.0080618515686662,aperture,17
58765.96990966797,-3.0427747363858675,3.8065152647639264,-75.03963506072535,93.87633738282847,,1.3582813693609221,20.41994772112777,0.0080618515686662,aperture,17
58765.99072265625,-2.8680980115632373,2.8265322316432373,-70.73183089515578,69.70873157135703,,1.0700315925226793,20.41994772112777,0.0080618515686662,aperture,17
58766.01153564453,-1.5189635763546634,4.243135429099693,-37.46004299206642,104.64279696427302,,3.0329509567121278,20.41994772112777,0.0080618515686662,aperture,17
58766.03240966797,0.5678068927643611,5.205718518891728,14.003015572756736,128.38129005440234,21.03444607052215,9.95415693865278,20.41994772112777,0.0080618515686662,aperture,17
58766.05322265625,2.2710188152099007,3.313884247205967,56.006914041822306,81.72668223835917,19.52939589030324,1.5843332795427585,20.41994772112777,0.0080618515686662,aperture,17
58766.07403564453,0.9257628096487522,4.764422176146783,22.83077434491505,117.49830482270954,20.50369839604219,5.58772828360663,20.41994772112777,0.0080618515686662,aperture,17
58766.09490966797,0.8617817894966147,4.153487619989477,21.25290124585943,102.43169216180215,20.581454439438627,5.232875992230716,20.41994772112777,0.0080618515686662,aperture,17
58766.11572265625,-0.1172966609721624,3.456150368591109,-2.8927210837984574,85.23413432735863,,31.991257656584544,20.41994772112777,0.0080618515686662,aperture,17
58766.13653564453,-3.3219142184302397,2.599811740418888,-81.92365595559099,64.11835294394629,,0.8497620909208395,20.41994772112777,0.0080618515686662,aperture,17
58766.15740966797,0.37086883368388923,2.339452790382904,9.146211713355921,57.69464402135178,21.496896874850062,6.848864403952172,20.41994772112777,0.0080618515686662,aperture,17
58766.17822265625,0.19151049428957767,4.573072152753436,4.72295153168598,112.77919391662076,22.214466278144496,25.92625673950158,20.41994772112777,0.0080618515686662,aperture,17
58766.19903564453,0.7150144403457279,5.604899562703101,17.633386403891862,138.22574553265443,20.784160689005702,8.510940151652537,20.41994772112777,0.0080618515686662,aperture,17
58766.21990966797,1.3713426386535685,4.828532348569639,33.81947730708583,119.07950550997676,20.07708277218296,3.822913323080494,20.41994772112777,0.0080618515686662,aperture,17
58766.24072265625,1.111043537487516,4.723275578493066,27.400089987820813,116.48362006332137,20.305620027150685,4.61569591998617,20.41994772112777,0.0080618515686662,aperture,17
58766.26153564453,0.175243726616797,4.736133633281808,4.321787326138208,116.80054675225291,22.310841521071303,29.343087193923175,20.41994772112777,0.0080618515686662,aperture,17
58766.28240966797,-0.31868676542302965,3.938580894846723,-7.859319419889674,97.13164856218265,,13.418381648278269,20.41994772112777,0.0080618515686662,aperture,17
58766.30322265625,3.8283614166999396,3.855482333711055,94.41344446383424,95.08487351107043,18.962415394532652,1.093457507901453,20.41994772112777,0.0080618515686662,aperture,17
58766.32403564453,0.9781726094278271,3.49341661187304,24.1232828576217,86.1533622965966,20.443908977033036,3.877574422981373,20.41994772112777,0.0080618515686662,aperture,17
58766.34490966797,0.9840417478122472,4.19666489172247,24.26802508819868,103.49654724522355,20.437413911889138,4.630370539143868,20.41994772112777,0.0080618515686662,aperture,17
58766.36572265625,-2.2135672518581084,3.470267548687236,-54.590067669321094,85.58324351187805,,1.7021562707037559,20.41994772112777,0.0080618515686662,aperture,17
58766.38653564453,2.1256948446252393,5.098694091134697,52.42299519701116,125.74245887067,19.601195422973124,2.6042605837024007,20.41994772112777,0.0080618515686662,aperture,17
58766.40740966797,-0.687818287288394,3.7845442701894463,-16.962686277433615,93.33292934975339,,5.973991314451842,20.41994772112777,0.0080618515686662,aperture,17
58766.42822265625,-4.743757233264761,5.438799795906098,-116.98855237100989,134.1322135656126,,1.2448414613310765,20.41994772112777,0.0080618515686662,aperture,17
58766.44903564453,2.194859893693191,3.89197144019683,54.12871464411718,95.98300969852347,19.566430714167552,1.9252670113544545,20.41994772112777,0.0080618515686662,aperture,17
58766.46990966797,-1.138520891334629,4.31069046638511,-28.07772497028121,106.30864573261066,,4.110843940271887,20.41994772112777,0.0080618515686662,aperture,17
58766.49072265625,-1.4032627607804988,2.0601414291390325,-34.606677978517624,50.80699415884157,,1.5939985065146087,20.41994772112777,0.0080618515686662,aperture,17
58766.51153564453,1.5369659663734434,4.388808495039275,37.904010388362956,108.23532130415177,19.953287093985203,3.1003317530122128,20.41994772112777,0.0080618515686662,aperture,17
58766.53234863281,-0.6893621447665745,5.248949926296731,-17.000760243397337,129.44746434782175,,8.267030217731097,20.41994772112777,0.0080618515686662,aperture,17
58766.55316162109,-1.9786581116777984,3.810721025044733,-48.796836924774844,93.97910298439172,,2.0910477201246924,20.41994772112777,0.0080618515686662,aperture,17
58766.57403564453,2.465974486881669,4.736973001032399,60.81482909393836,116.8221152227983,19.43997627351156,2.0856426286736096,20.41994772112777,0.0080618515686662,aperture,17
58766.59484863281,0.26590318917640854,3.707236455527767,6.557592988622194,91.42632441135078,21.858138855672017,15.137394262436818,20.41994772112777,0.0080618515686662,aperture,17
58766.61566162109,1.1811028836349409,4.449779814273786,29.127864214624147,109.73881762688625,20.23922839655037,4.090495838862087,20.41994772112777,0.0080618515686662,aperture,17
58766.63653564453,3.7197086578165033,3.104285772516385,91.73389566994676,76.5596245664713,18.99367540721443,0.9061378632995326,20.41994772112777,0.0080618515686662,aperture,17
58766.65734863281,-3.5327648122834296,4.205249356482371,-87.12356491561928,103.71011449641178,,1.2924382308899098,20.41994772112777,0.0080618515686662,aperture,17
58766.67816162109,-1.655405071245252,4.714336943545241,-40.8249059447182,116.26339670226432,,3.0920188587510196,20.41994772112777,0.0080618515686662,aperture,17
58766.69903564453,-0.02453560224991691,4.387989811913451,-0.6050867377109027,108.21476545157165,,194.17495280869295,20.41994772112777,0.0080618515686662,aperture,17
58766.71984863281,2.807717423972156,3.195471258781533,69.24275015467065,78.80704986572123,19.29906422831748,1.2357057892453058,20.41994772112777,0.0080618515686662,aperture,17
58766.74066162109,0.13031894268542144,5.099025493906323,3.213871136655014,125.75003155586523,22.632428851726964,42.48190303976578,20.41994772112777,0.0080618515686662,aperture,17
58766.76153564453,3.0176658362612163,3.200109338365449,74.4204098911461,78.92168963041895,19.220769855775035,1.151406393726737,20.41994772112777,0.0080618515686662,aperture,17
58766.78234863281,-0.15739159567179772,6.387055316064518,-3.8815255561327846,157.51488347854544,,44.059895859942245,20.41994772112777,0.0080618515686662,aperture,17
58766.80316162109,0.9420780889679103,3.930926525800709,23.233134924350388,96.94301568428591,20.484730463608763,4.530363305235587,20.41994772112777,0.0080618515686662,aperture,17
58766.82403564453,0.8933850257208436,3.823361252555196,22.03228700999287,94.29027443167668,20.542351048967394,4.646560961221076,20.41994772112777,0.0080618515686662,aperture,17
58766.84484863281,-2.642943148691992,3.9195225737387807,-65.17915604875094,96.66283428394159,,1.6101825368544636,20.41994772112777,0.0080618515686662,aperture,17
58766.86566162109,-1.8993164921309318,4.470161359715795,-46.840147162391865,110.24179425848892,,2.5553614699152924,20.41994772112777,0.0080618515686662,aperture,17
58766.88653564453,-1.363163769914047,5.780980810637438,-33.61777347469756,142.56834397425075,,4.604457604003981,20.41994772112777,0.0080618515686662,aperture,17
58766.90734863281,-3.303443107676263,4.10640601610345,-81.46812916500413,101.27227049588305,,1.3496685359343144,20.41994772112777,0.0080618515686662,aperture,17
58766.92816162109,1.1597895963021498,1.7616031531793772,28.602244856650678,43.44443763491074,20.25899969946793,1.649143242846245,20.41994772112777,0.0080618515686662,aperture,17
58766.94903564453,-3.563591936036227,5.652786939002641,-87.88381051931762,139.40818921613658,,1.7222798758647466,20.41994772112777,0.0080618515686662,aperture,17
58766.96984863281,2.8680552560144457,3.7878271162872927,70.730776475734,93.41528090202866,19.27597893561971,1.4339493726295993,20.41994772112777,0.0080618515686662,aperture,17
58766.99066162109,1.9965078512136936,4.64495141670514,49.237039718851385,114.55242814801224,19.669270165164914,2.5260194214241554,20.41994772112777,0.0080618515686662,aperture,17
58767.01153564453,-1.7567840219525817,5.302259201426478,-43.32507113044378,130.76248951280238,,3.276937934179001,20.41994772112777,0.0080618515686662,aperture,17
58767.03234863281,4.004456209563883,5.543293198806447,98.75622042900467,136.70833985322054,18.913588849053518,1.5029857706808978,20.41994772112777,0.0080618515686662,aperture,17
58767.05316162109,5.095110946770224,3.885766695126702,125.6534903709871,95.83369122024318,18.652063607952968,0.8280717701213497,20.41994772112777,0.0080618515686662,aperture,17
58767.07403564453,-2.6697883720708786,4.209836158398428,-65.84120169458407,103.82236569475334,,1.7120541301983019,20.41994772112777,0.0080618515686662,aperture,17
58767.09484863281,1.9209076139612202,2.9780453479381843,47.37261835827833,73.44414836346442,19.71118152619332,1.6832713425878463,20.41994772112777,0.0080618515686662,aperture,17
58767.11566162109,2.9359089238733675,4.683518416273784,72.40415518917533,115.50421910527523,19.25059127359733,1.7320430320228604,20.41994772112777,0.0080618515686662,aperture,17
58767.13653564453,-0.3148248068221453,4.573256823626807,-7.764077415752947,112.78375747399069,,15.771791320591388,20.41994772112777,0.0080618515686662,aperture,17
58767.15734863281,-0.617017870806648,4.066825314793889,-15.216636084691432,100.2944048010976,,7.156198375327538,20.41994772112777,0.0080618515686662,aperture,17
58767.17816162109,-0.19444327178674725,4.027233189135064,-4.795278460942435,99.31794313390371,,22.487346151196284,20.41994772112777,0.0080618515686662,aperture,17
58767.19903564453,2.7654065479751226,3.9421408063201904,68.19929706695106,97.22074292400906,19.315550254030267,1.5477590676991178,20.41994772112777,0.0080618515686662,aperture,17
58767.21984863281,2.4158352058369683,4.282712014584981,59.5783151624896,105.61937490948556,19.462279456309478,1.9247737864086143,20.41994772112777,0.0080618515686662,aperture,17
58767.24066162109,-0.7578396328049668,4.624392032166388,-18.689523348608194,114.04490225061922,,6.625245440024569,20.41994772112777,0.0080618515686662,aperture,17
58767.26153564453,2.6982988904387364,4.543652693810982,66.54431614736716,112.05474749339317,19.342222584179233,1.8282838161440895,20.41994772112777,0.0080618515686662,aperture,17
58767.28234863281,0.5388132145574838,2.997416031879241,13.2879856345575,73.92108355168736,21.09135212516419,6.039952097652182,20.41994772112777,0.0080618515686662,aperture,17
58767.30316162109,-1.4778779674499103,3.728355602585326,-36.44680692776206,91.94754126088489,,2.739081497133625,20.41994772112777,0.0080618515686662,aperture,17
58767.32403564453,1.398093093984441,3.895346917589345,34.47918582304426,96.06575395092716,20.056107494932547,3.025073377231471,20.41994772112777,0.0080618515686662,aperture,17
58767.34484863281,-2.2079069802753297,2.9903108036423336,-54.450476424252194,73.74689983458394,,1.4705046566574413,20.41994772112777,0.0080618515686662,aperture,17
58767.36566162109,-3.2046370522713086,4.313415873084685,-79.03141564470448,106.37727275936587,,1.4614144951864236,20.41994772112777,0.0080618515686662,aperture,17
58767.38653564453,-2.665960045252607,4.470498101558047,-65.74678910337218,110.25063105044546,,1.8206684061892815,20.41994772112777,0.0080618515686662,aperture,17
58767.40734863281,4.04199090661259,4.144540676204812,99.6818853936071,102.21360473528117,18.90345939078991,1.1133117199953062,20.41994772112777,0.0080618515686662,aperture,17
58767.42816162109,2.7397134027798153,4.432746362806498,67.56566349034652,109.31968384501708,19.32568488533703,1.7566961162189378,20.41994772112777,0.0080618515686662,aperture,17
58767.44903564453,3.0540229926901077,4.043862959663473,75.31703484259099,99.72962121938819,19.20776696516104,1.4376569745609942,20.41994772112777,0.0080618515686662,aperture,17
58767.46984863281,-2.343538580086822,3.571110891244732,-57.79536608395983,88.0702854037486,,1.6544768881180143,20.41994772112777,0.0080618515686662,aperture,17
58767.49066162109,-1.1204736118369154,4.210997134406168,-27.632650528472254,103.8500488272458,,4.080453945648846,20.41994772112777,0.0080618515686662,aperture,17
58767.51153564453,-2.4430711185748937,4.535676471254506,-60.2499958255239,111.85784646628325,,2.0157364665454542,20.41994772112777,0.0080618515686662,aperture,17
58767.53234863281,4.054561081682176,3.5787631630318697,99.99188578193412,88.2610798660111,18.90008810257774,0.9583602622573069,20.41994772112777,0.0080618515686662,aperture,17
58767.55316162109,3.2161687203535854,2.7805846425329297,79.31580480903786,68.57614185247236,19.151600661673267,0.9387233751346162,20.41994772112777,0.0080618515686662,aperture,17
58767.57403564453,-1.425889432135981,5.3001519856380055,-35.164687462706745,130.71038731357893,,4.035781634482541,20.41994772112777,0.0080618515686662,aperture,17
58767.59484863281,-3.169614221791245,3.1000598320145016,-78.16769728047908,76.4545792477565,,1.061941282611748,20.41994772112777,0.0080618515686662,aperture,17
58767.61566162109,-0.503393387097739,4.158339561225154,-12.414476697234692,102.5512685711845,,8.968853689693674,20.41994772112777,0.0080618515686662,aperture,17
58767.63653564453,-0.07256151173456216,4.283337593131566,-1.7894815856409758,105.63387704311364,,64.09148083722583,20.41994772112777,0.0080618515686662,aperture,17
58767.65734863281,2.9760979882373224,4.5198518579852704,73.39528104783328,111.46802409480425,19.235829655413113,1.6489461952425248,20.41994772112777,0.0080618515686662,aperture,17
58767.67816162109,-3.131602308195559,4.305001546287885,-77.23026340143744,106.16969224359484,,1.49257912170676,20.41994772112777,0.0080618515686662,aperture,17
58767.69903564453,-0.6879367507967509,1.5644051095985747,-16.965607774818487,38.58090870059115,,2.4690355892156006,20.41994772112777,0.0080618515686662,aperture,17
58767.71984863281,4.800067409955998,4.636520032906502,118.37725034414159,114.34729186412751,18.716829379997996,1.0487741042472363,20.41994772112777,0.0080618515686662,aperture,17
58767.74066162109,0.7282418972039026,4.363250189690697,17.959596400165818,107.60472979842747,20.76425856827401,6.5051768615629895,20.41994772112777,0.0080618515686662,aperture,17
58767.76153564453,-3.233122664181025,2.977579761812362,-79.73391586485734,73.4342105603323,,0.9999531593095322,20.41994772112777,0.0080618515686662,aperture,17
58767.78234863281,1.3944737854701432,3.2653349693092304,34.389927953627456,80.5287270899423,20.05892183504331,2.542400049297418,20.41994772112777,0.0080618515686662,aperture,17
58767.80316162109,0.054234308543896326,5.620470845581141,1.3375037830564727,138.60969632782675,23.584262452316878,112.51823549219618,20.41994772112777,0.0080618515686662,aperture,17
58767.82403564453,1.112279008040483,4.96489360296135,27.43055864470635,122.4422942293611,20.30441336889947,4.8464208680678835,20.41994772112777,0.0080618515686662,aperture,17
58767.84484863281,-0.22361961970085653,3.7049147275496455,-5.514813322888874,91.3690631391121,,17.988405778529458,20.41994772112777,0.0080618515686662,aperture,17
58767.86566162109,-2.997212473271571,4.364428820021705,-73.9159976268552,107.63511337158947,,1.581029049769893,20.41994772112777,0.0080618515686662,aperture,17
58767.88653564453,-0.4141461035860283,2.551557502254134,-10.213497602464605,62.925487243584904,,6.6892344191591775,20.41994772112777,0.0080618515686662,aperture,17
58767.90734863281,-2.174090534576878,4.327842264920889,-53.6165094158115,106.73217426348884,,2.1613302893651225,20.41994772112777,0.0080618515686662,aperture,17
58767.92816162109,-0.2768809057793652,2.5750057752622326,-6.828320833781177,63.503733264033954,,10.097402278018729,20.41994772112777,0.0080618515686662,aperture,17
58767.94903564453,-1.4319581049474177,2.752252587573964,-35.31435052768081,67.87540611314955,,2.0868226295693253,20.41994772112777,0.0080618515686662,aperture,17
58767.96984863281,-0.29273746680425117,4.782513585481714,-7.219368694931379,117.94435746509332,,17.737902641915667,20.41994772112777,0.0080618515686662,aperture,17
58767.99066162109,-0.08343936842199517,2.7317494286692043,-2.0577467274231735,67.36926103187434,,35.54628216160674,20.41994772112777,0.0080618515686662,aperture,17
58768.01153564453,2.2886524167938807,4.295716239153868,56.44178653233068,105.93998214800057,19.520998120318076,2.037902788275976,20.41994772112777,0.0080618515686662,aperture,17
58768.03234863281,-4.56002886333985,4.064706428324365,-112.45752032824915,100.24556391395306,,0.9678342345632657,20.41994772112777,0.0080618515686662,aperture,17
58768.05316162109,2.846818402566319,4.529003629191376,70.20704209818412,111.69360554894416,19.284048309739802,1.7273166303583496,20.41994772112777,0.0080618515686662,aperture,17
58768.07403564453,-0.8843056004977239,4.286188933654988,-21.808374031106602,105.70431880740678,,5.262520065218896,20.41994772112777,0.0080618515686662,aperture,17
58768.11566162109,3.9280254458155888,8.387481940857421,96.87131697213661,206.84981433819678,18.934511989900123,2.3183780234873375,20.41994772112777,0.0080618515686662,aperture,17
58768.13653564453,-4.755995858031396,4.36434561795993,-117.29037620474668,107.63518561198207,,0.9963598183092948,20.41994772112777,0.0080618515686662,aperture,17
58768.15734863281,1.907702731642721,3.284886994559232,47.04696508583893,81.01125928265725,19.718670967200985,1.8695543280156013,20.41994772112777,0.0080618515686662,aperture,17
58768.17816162109,-2.3726153233108933,3.983464407768907,-58.51244453679344,98.23949014728461,,1.8228971979254054,20.41994772112777,0.0080618515686662,aperture,17
58768.19903564453,-0.921524489066335,2.240156234744654,-22.726250659355365,55.246051738470065,,2.639354790259062,20.41994772112777,0.0080618515686662,aperture,17
58768.21984863281,1.5744436260055132,4.830797871258303,38.82826872010557,119.13546095532895,19.92712993350271,3.3313275995427247,20.41994772112777,0.0080618515686662,aperture,17
58768.24066162109,-2.424391798918217,3.0523655335729134,-59.789334274256866,75.2774683937201,,1.3669908492824334,20.41994772112777,0.0080618515686662,aperture,17
58768.26153564453,-1.1113422742635892,5.009126866286398,-27.407457308966112,123.53315464888195,,4.893719872598269,20.41994772112777,0.0080618515686662,aperture,17
58768.28234863281,-1.2544441376443962,4.352819684560695,-30.93657547739163,107.34766019854194,,3.7674254300966683,20.41994772112777,0.0080618515686662,aperture,17
58768.30316162109,-4.485766129775523,3.130133013027194,-110.62608392297055,77.19839854772472,,0.7576612429937803,20.41994772112777,0.0080618515686662,aperture,17
58768.32403564453,4.596656807895663,3.721039808102221,113.3608233429696,91.77058425384091,18.763842521139097,0.8789513247865868,20.41994772112777,0.0080618515686662,aperture,17
58768.34484863281,-1.5707821064824063,3.778783290826436,-38.73796986048378,93.19121341170974,,2.611935388737252,20.41994772112777,0.0080618515686662,aperture,17
58768.36566162109,-0.3232995170997919,3.394666799244627,-7.973077168141891,83.71787053946237,,11.400306445438718,20.41994772112777,0.0080618515686662,aperture,17
58768.38653564453,2.7267372445873805,3.539125924082756,67.24565091642621,87.28186822073437,19.330839495565716,1.4092373715581195,20.41994772112777,0.0080618515686662,aperture,17
58768.40734863281,2.374947879264219,3.5997632135173485,58.569969053939964,88.77691663233686,19.480812513590106,1.6456951248472325,20.41994772112777,0.0080618515686662,aperture,17
58768.42816162109,-2.482862063736519,3.4372410999141048,-61.23130343529992,84.76901844472204,,1.5031003294662033,20.41994772112777,0.0080618515686662,aperture,17
58768.44903564453,-1.2961989699398258,5.986624077443683,-31.9663156484279,147.63980428761062,,5.014587309386927,20.41994772112777,0.0080618515686662,aperture,17
58768.46984863281,-5.984911944900956,3.3867180291732204,-147.5973895949262,83.52901038419051,,0.6144449503519603,20.41994772112777,0.0080618515686662,aperture,17
58768.49066162109,1.6998062723869531,3.742246011161442,41.91990975492093,92.29022733150732,19.84394915242855,2.3903400972234454,20.41994772112777,0.0080618515686662,aperture,17
58768.51153564453,3.268917327106445,3.080808271954434,80.61666883730891,75.97996019641708,19.133937878254006,1.0232895356642893,20.41994772112777,0.0080618515686662,aperture,17
58768.53234863281,-3.483526718314666,2.9793734964742447,-85.90927568207242,73.47882922114499,,0.9286380840164029,20.41994772112777,0.0080618515686662,aperture,17
58768.55316162109,-2.4753863829482983,2.927404813952795,-61.04694132940021,72.19585341446106,,1.2840225927542197,20.41994772112777,0.0080618515686662,aperture,17
58768.57403564453,1.172187773035783,3.701914975614039,28.90800349411566,91.29532767432374,20.247454753651937,3.428899633329811,20.41994772112777,0.0080618515686662,aperture,17
58768.59484863281,-1.1046360043765269,4.478580708795734,-27.242070092184623,110.44906531201079,,4.401961693261641,20.41994772112777,0.0080618515686662,aperture,17
58768.61566162109,-0.16209786910969104,4.695322317453076,-3.9975896988550192,115.79407458502249,,31.44940540281836,20.41994772112777,0.0080618515686662,aperture,17
58768.63653564453,-4.611315844708481,3.594976389631261,-113.72233836398696,88.66182195838151,,0.8464770551228685,20.41994772112777,0.0080618515686662,aperture,17
58768.65734863281,2.3053079276682014,3.8292933683660255,56.852537759759194,94.43737138046876,19.51312536172113,1.8035091700433958,20.41994772112777,0.0080618515686662,aperture,17
58768.67816162109,-4.730927602260031,3.546020350783236,-116.67215338917062,87.4547583911044,,0.81384284686058,20.41994772112777,0.0080618515686662,aperture,17
58768.69903564453,0.5047931265361454,5.003225777479659,12.448996484513746,123.38749146780697,21.162164139252646,10.761210099748492,20.41994772112777,0.0080618515686662,aperture,17
58768.71984863281,-3.4962962769993204,3.794373320906716,-86.22419318553544,93.57743448974422,,1.17832831854136,20.41994772112777,0.0080618515686662,aperture,17
58768.74066162109,0.8587020042732765,5.219257714571916,21.176948873683756,128.7152419658582,20.585341529690304,6.599194205932148,20.41994772112777,0.0080618515686662,aperture,17
58768.76153564453,-1.0887478047143784,3.2704262103284583,-26.850241972224723,80.65412669459198,,3.2613898044588816,20.41994772112777,0.0080618515686662,aperture,17
58768.78234863281,4.101168721350181,5.247907477412462,101.14130385416479,129.42387325964833,18.8876786299963,1.3893451992733172,20.41994772112777,0.0080618515686662,aperture,17
58768.80316162109,1.663199550200237,3.598547107663354,41.01713011737099,88.74638291253815,19.867586823948358,2.3491443865952952,20.41994772112777,0.0080618515686662,aperture,17
58768.82403564453,0.4164874632891342,2.785421255605112,10.271239233997814,68.69293373409238,21.37094288808104,7.261285952651876,20.41994772112777,0.0080618515686662,aperture,17
58768.84484863281,0.7902580663394421,4.145447816205156,19.48901316708778,102.23339874873064,20.675525377441797,5.695439856565998,20.41994772112777,0.0080618515686662,aperture,17
58768.86566162109,4.287837367207696,4.162416138202834,105.74484774945344,102.65476484523468,18.839351959373847,1.054008749887102,20.41994772112777,0.0080618515686662,aperture,17
58768.88653564453,-0.08855773648738108,3.92049596090645,-2.1839737751044064,96.68562933151367,,48.06609376068653,20.41994772112777,0.0080618515686662,aperture,17
58768.90734863281,2.2303966314159522,3.2867048938124674,55.00510677333938,81.05636734455341,19.54899246987693,1.5999574914889911,20.41994772112777,0.0080618515686662,aperture,17
58768.92816162109,-3.946681719756328,2.764216410003816,-97.33141017961763,68.17377720398929,,0.7604815135102813,20.41994772112777,0.0080618515686662,aperture,17
58768.94903564453,4.449229245718764,4.196089188048542,109.72502660410647,103.48539984376859,18.799235762958094,1.0239946961201811,20.41994772112777,0.0080618515686662,aperture,17
