MJD,flux,dflux,uJy,duJy,m,dm,ZP,d_ZP,Method,Sector
58792.115690926046,-4.700259366734845,6.849838762335304,-114.44357491423358,166.7830787377075,,1.582285655286999,20.43382602001304,0.0048564938651074,psf,18
58792.13652402789,-2.871447472066599,6.622065155224261,-69.9150170749032,161.2366842007887,,2.5039042096549715,20.43382602001304,0.0048564938651074,psf,18
58792.15735712968,-7.246930927337895,7.099226241080753,-176.4508334052233,172.8562694475274,,1.063618155475662,20.43382602001304,0.0048564938651074,psf,18
58792.17819023146,-1.790265017120749,7.384167301150182,-43.59000485233184,179.79241882159613,,4.478254570444291,20.43382602001304,0.0048564938651074,psf,18
58792.19902333319,-4.218912810520196,7.0607076020067785,-102.72357898045021,171.9172161458247,,1.8170779060012525,20.43382602001304,0.0048564938651074,psf,18
58792.219856434975,-5.004422776594069,6.183344443368982,-121.84945302997129,150.55524064936503,,1.3415183369668588,20.43382602001304,0.0048564938651074,psf,18
58792.2406895367,-6.167641000108425,6.052289161873455,-150.17190111581894,147.36480474444235,,1.0654410221174155,20.43382602001304,0.0048564938651074,psf,18
58792.26152263848,-0.8772482745896861,7.350497821447325,-21.35955078179635,178.97254221813904,,9.09742769072853,20.43382602001304,0.0048564938651074,psf,18
58792.28235574021,-5.442664512678675,5.489441547788573,-132.5199175811612,133.6601757567178,,1.0950783444649022,20.43382602001304,0.0048564938651074,psf,18
58792.303188841935,-3.7123319049653984,5.952696141082242,-90.38916819765663,144.93891170010966,,1.7409765688620469,20.43382602001304,0.0048564938651074,psf,18
58792.32402194366,-1.080713207596322,7.142116131538658,-26.31358682239471,173.89880557459287,,7.175313287804657,20.43382602001304,0.0048564938651074,psf,18
58792.34485504533,-4.454762200294258,5.924342911770961,-108.46612321069222,144.24880925632002,,1.44391769583775,20.43382602001304,0.0048564938651074,psf,18
58792.36568814705,-3.225791342538842,6.808433944064233,-78.54270676641067,165.7745262782798,,2.291586480998757,20.43382602001304,0.0048564938651074,psf,18
58792.38652124878,-0.317442527086663,4.926490794391976,-7.729202751388415,119.95194258865045,,16.84988362818814,20.43382602001304,0.0048564938651074,psf,18
58792.40735435045,-0.297642473270864,6.140171141492124,-7.247104048876095,149.50305881186142,,22.398034108437436,20.43382602001304,0.0048564938651074,psf,18
58792.42818745218,4.547703224248552,6.076946959566596,110.72908408319141,147.96447955016782,18.789345731049345,1.4508418794931375,20.43382602001304,0.0048564938651074,psf,18
58792.449020553846,-0.2843983915251087,3.8910128871399694,-6.924632469505892,94.73976091441043,,14.854562882272983,20.43382602001304,0.0048564938651074,psf,18
58792.46985365557,-2.245998925091997,5.076785747218204,-54.686374981815845,123.61161422151892,,2.454168975974819,20.43382602001304,0.0048564938651074,psf,18
