MJD,Observatory,Filter,Svo_filter,Flux,d_Flux,Mag,d_Mag,WavelengthEff,FrequencyEff
58804.62597305703,TESS,R,TESS/TESS.Red,36.02825822338468,10.395570140082702,20.008391833054493,0.3125861833859441,7452.64,402263436849223.9
58804.87596964901,TESS,R,TESS/TESS.Red,53.605714095031225,12.955742475138338,19.576972285671363,0.2615812114417793,7452.64,402263436849223.9
58805.12596624075,TESS,R,TESS/TESS.Red,60.365239578470096,12.95663281672181,19.448032678484537,0.2321091686859569,7452.64,402263436849223.9
58805.375962833496,TESS,R,TESS/TESS.Red,79.23899739027648,10.13413960666734,19.15265257054906,0.1372913644606617,7452.64,402263436849223.9
58805.625959428115,TESS,R,TESS/TESS.Red,109.3144249758555,13.228707998671853,18.80330631346843,0.1297333614554148,7452.64,402263436849223.9
58805.87595602533,TESS,R,TESS/TESS.Red,150.4483212399372,13.33863124283668,18.456531634803095,0.0939858829654937,7452.64,402263436849223.9
58806.12595262565,TESS,R,TESS/TESS.Red,174.8755584256767,10.757516543775989,18.293177214190923,0.0634671129345898,7452.64,402263436849223.9
58806.37594922959,TESS,R,TESS/TESS.Red,175.7152180979719,13.485849195710516,18.287976560266195,0.0806900586155103,7452.64,402263436849223.9
58806.62594583752,TESS,R,TESS/TESS.Red,228.43218409768036,13.832688592145152,18.003106769549095,0.0623688935129228,7452.64,402263436849223.9
58806.87594244984,TESS,R,TESS/TESS.Red,263.49593198404926,12.17038678461272,17.848065213277707,0.045629950211266,7452.64,402263436849223.9
58807.12593906695,TESS,R,TESS/TESS.Red,274.0830629241535,10.935479962481931,17.805294502594602,0.0379974479596524,7452.64,402263436849223.9
58807.37767177686,TESS,R,TESS/TESS.Red,315.25093927207257,15.7522477391112,17.6533590269937,0.050104538060961,7452.64,402263436849223.9
58807.64676536949,TESS,R,TESS/TESS.Red,358.657736811268,14.689828025682194,17.5132994907818,0.0393036948351024,7452.64,402263436849223.9
58807.89676200371,TESS,R,TESS/TESS.Red,387.073838435861,12.3480082674312,17.43051545201065,0.0276930975579199,7452.64,402263436849223.9
58808.14675864428,TESS,R,TESS/TESS.Red,447.0002861857376,13.99445323619275,17.27423049704238,0.0268828996090914,7452.64,402263436849223.9
58808.396755296744,TESS,R,TESS/TESS.Red,476.8968853180793,14.564516497430589,17.203938784990967,0.0258214688335316,7452.64,402263436849223.9
58808.64675196162,TESS,R,TESS/TESS.Red,489.2590139085806,13.874481606351589,17.1761529108295,0.0226990867531466,7452.64,402263436849223.9
58808.896748624415,TESS,R,TESS/TESS.Red,555.7596649960183,17.640243194221792,17.03778243980032,0.0274753333138683,7452.64,402263436849223.9
58809.146745295795,TESS,R,TESS/TESS.Red,566.9908872420209,16.4524794911936,17.01605980273382,0.0236605677910237,7452.64,402263436849223.9
58809.39674197647,TESS,R,TESS/TESS.Red,610.729952144282,17.16373661104866,16.93537695073901,0.0223228313756172,7452.64,402263436849223.9
58809.646738667194,TESS,R,TESS/TESS.Red,663.7077365023093,21.25721311497137,16.845057799948382,0.0278654458793045,7452.64,402263436849223.9
58809.896735368886,TESS,R,TESS/TESS.Red,690.4551586754043,17.585866334417982,16.802161303112346,0.0182203675411389,7452.64,402263436849223.9
58810.14673208253,TESS,R,TESS/TESS.Red,751.726183841054,20.311657131404942,16.709850805774817,0.0206855961300262,7452.64,402263436849223.9
58810.39672880919,TESS,R,TESS/TESS.Red,794.4460337316211,21.104853616437737,16.649838997081048,0.0199795542567376,7452.64,402263436849223.9
58810.646725550214,TESS,R,TESS/TESS.Red,850.2951775939375,20.826298139784292,16.576075709989095,0.0165663047805318,7452.64,402263436849223.9
58810.89672230696,TESS,R,TESS/TESS.Red,899.0239757667274,20.984999144407706,16.515571815148732,0.0144753698549949,7452.64,402263436849223.9
58811.14671908121,TESS,R,TESS/TESS.Red,949.7225926541678,22.861672299026942,16.45600807644365,0.0158220151838865,7452.64,402263436849223.9
58811.39671587482,TESS,R,TESS/TESS.Red,997.587994693401,22.916750065186378,16.40262196485672,0.0137602889920012,7452.64,402263436849223.9
58811.646712690104,TESS,R,TESS/TESS.Red,1026.3714782417196,24.831250714280372,16.371738562603724,0.0160386158550079,7452.64,402263436849223.9
58811.90018170844,TESS,R,TESS/TESS.Red,1087.0362597348376,24.187911794025133,16.30938992281068,0.0122846824153683,7452.64,402263436849223.9
58812.16753947059,TESS,R,TESS/TESS.Red,1120.6802880447694,26.360550386175124,16.27629566731225,0.0148147538037062,7452.64,402263436849223.9
58812.417536372115,TESS,R,TESS/TESS.Red,1176.912870898838,27.069981599245317,16.223139219035183,0.013816647579949,7452.64,402263436849223.9
58812.667533310334,TESS,R,TESS/TESS.Red,1206.9395071900688,26.581135311671876,16.195786241392742,0.011791152975264,7452.64,402263436849223.9
58812.917530291365,TESS,R,TESS/TESS.Red,1286.086135201759,28.796989072978437,16.12682485926414,0.0125808431614419,7452.64,402263436849223.9
58813.16752732303,TESS,R,TESS/TESS.Red,1281.9118477227023,28.50236579498483,16.13035459648897,0.0122483804077969,7452.64,402263436849223.9
58813.417524415585,TESS,R,TESS/TESS.Red,1388.2382851988125,30.880727638096527,16.043839956704,0.0122703650173195,7452.64,402263436849223.9
58813.66752158275,TESS,R,TESS/TESS.Red,1435.4142848563538,31.70618633541655,16.007556840251212,0.0119334925811311,7452.64,402263436849223.9
58813.9175188434,TESS,R,TESS/TESS.Red,1488.3375538264293,32.791230689979145,15.968246399900796,0.011809931922633,7452.64,402263436849223.9
58814.16751622361,TESS,R,TESS/TESS.Red,1529.873960866817,33.535646684747846,15.938360867980172,0.0115625573015484,7452.64,402263436849223.9
58814.40709718777,TESS,R,TESS/TESS.Red,1588.2478293536128,34.34302541441073,15.89770432384826,0.0108826248698162,7452.64,402263436849223.9
58810.209503,ATLAS,o,Misc/Atlas.orange,682.654051,36.8422,16.814498,0.058596,6629.8207075155,452187881431179.9
58818.236856,ATLAS,o,Misc/Atlas.orange,2413.584243,50.695062,15.443344,0.022805,6629.8207075155,452187881431179.9
58826.208799,ATLAS,o,Misc/Atlas.orange,3554.696119,17.91826,15.022994,0.005473,6629.8207075155,452187881431179.9
58828.222873,ATLAS,o,Misc/Atlas.orange,3902.034552,27.955059,14.921772,0.007778,6629.8207075155,452187881431179.9
58836.221976,ATLAS,o,Misc/Atlas.orange,4528.0,35.241894,14.760234,0.00845,6629.8207075155,452187881431179.9
58910.614124,ATLAS,o,Misc/Atlas.orange,3420.0,32.155732,15.064935,0.010208,6629.8207075155,452187881431179.9
58950.481788,ATLAS,o,Misc/Atlas.orange,2488.23599,19.812016,15.410271,0.008645,6629.8207075155,452187881431179.9
58966.559922,ATLAS,o,Misc/Atlas.orange,2269.695392,17.567465,15.510081,0.008404,6629.8207075155,452187881431179.9
58970.603905,ATLAS,o,Misc/Atlas.orange,2285.0,16.911447,15.502784,0.008036,6629.8207075155,452187881431179.9
58974.59413,ATLAS,o,Misc/Atlas.orange,2194.290486,16.703422,15.546765,0.008265,6629.8207075155,452187881431179.9
58978.601487,ATLAS,o,Misc/Atlas.orange,2144.37002,17.089762,15.571751,0.008653,6629.8207075155,452187881431179.9
58982.592334,ATLAS,o,Misc/Atlas.orange,2117.260693,15.341645,15.585564,0.007867,6629.8207075155,452187881431179.9
58986.590806,ATLAS,o,Misc/Atlas.orange,2107.006864,14.470997,15.590835,0.007457,6629.8207075155,452187881431179.9
58990.537397,ATLAS,o,Misc/Atlas.orange,2081.255853,15.069729,15.604186,0.007861,6629.8207075155,452187881431179.9
58994.548135,ATLAS,o,Misc/Atlas.orange,1987.265925,10.742012,15.65436,0.005869,6629.8207075155,452187881431179.9
59002.519002,ATLAS,o,Misc/Atlas.orange,1930.730152,15.341645,15.685696,0.008627,6629.8207075155,452187881431179.9
58964.608645,ATLAS,c,Misc/Atlas.cyan,1482.0,29.136957,15.972879,0.021346,5182.4187728719,578479800917104.2
58968.548571,ATLAS,c,Misc/Atlas.cyan,1454.52799,16.818763,15.993195,0.012554,5182.4187728719,578479800917104.2
58988.558471,ATLAS,c,Misc/Atlas.cyan,1238.488592,16.244598,16.16777,0.014241,5182.4187728719,578479800917104.2
58992.530863,ATLAS,c,Misc/Atlas.cyan,1204.165618,13.901209,16.198284,0.012534,5182.4187728719,578479800917104.2
59000.554131,ATLAS,c,Misc/Atlas.cyan,1215.234425,19.559504,16.18835,0.017475,5182.4187728719,578479800917104.2
58824.036808703706,Siding Springs,g,SLOAN/SDSS.g,3909.1289797747568,23.03608760717977,14.9198,0.006398129726724,4671.7822137652,641708975895055.1
58824.0355337037,Siding Springs,u,SLOAN/SDSS.u,3991.71935651718,58.45359739829917,14.8971,0.015899210672231,3608.0403153219,830901075930060.1
58835.03985219907,Siding Springs,r,SLOAN/SDSS.r,4566.253309654809,17.609798880471377,14.7511,0.004187151895978,6141.1230039377,488172045744357.4
58821.03855680556,Siding Springs,r,SLOAN/SDSS.r,3169.8594044393526,13.937973007711996,15.1474,0.004774016757406,6141.1230039377,488172045744357.4
58841.0407162037,Siding Springs,g,SLOAN/SDSS.g,4444.265543439951,25.97896984507821,14.7805,0.006346674798664,4671.7822137652,641708975895055.1
58844.04299079861,Siding Springs,r,SLOAN/SDSS.r,4767.821634919791,22.799441546061175,14.7042,0.005191926424748,6141.1230039377,488172045744357.4
58841.04271,Siding Springs,i,SLOAN/SDSS.i,4408.389913058718,27.5831802224345,14.7893,0.006793422995809,7457.889035897,401980314479085.5
58821.03755930556,Siding Springs,g,SLOAN/SDSS.g,3607.447338641919,14.364458702062375,15.007,0.004323282202216,4671.7822137652,641708975895055.1
58838.05297340278,Siding Springs,g,SLOAN/SDSS.g,4480.433130948533,18.14602586214938,14.7717,0.004397297465489,4671.7822137652,641708975895055.1
58841.04170150463,Siding Springs,r,SLOAN/SDSS.r,4709.339497797153,21.71857949366739,14.7176,0.005007209202739,6141.1230039377,488172045744357.4
58831.03983019676,Siding Springs,i,SLOAN/SDSS.i,3869.72408041962,20.87833244340323,14.9308,0.005857875382764,7457.889035897,401980314479085.5
58841.039730902776,Siding Springs,u,SLOAN/SDSS.u,3311.921237076634,104.26383289055912,15.0998,0.0341804681068,3608.0403153219,830901075930060.1
58844.04199379629,Siding Springs,g,SLOAN/SDSS.g,4339.103405929247,22.550954957588303,14.8065,0.005642729835815,4671.7822137652,641708975895055.1
58838.05396409722,Siding Springs,r,SLOAN/SDSS.r,4682.955166825541,17.717401139402927,14.7237,0.00410775315714,6141.1230039377,488172045744357.4
58838.05494739583,Siding Springs,i,SLOAN/SDSS.i,4288.249049254248,22.809579139381107,14.8193,0.005775127704215,7457.889035897,401980314479085.5
58821.03954200231,Siding Springs,i,SLOAN/SDSS.i,2625.6691409221376,13.544935038151062,15.3519,0.005600944206113,7457.889035897,401980314479085.5
58844.04397700232,Siding Springs,i,SLOAN/SDSS.i,4453.69015798738,24.66285498727035,14.7782,0.006012397275629,7457.889035897,401980314479085.5
58831.038845,Siding Springs,r,SLOAN/SDSS.r,4292.991217391684,19.96617641537644,14.8181,0.005049626124773,6141.1230039377,488172045744357.4
58831.03784810185,Siding Springs,g,SLOAN/SDSS.g,4403.520272026519,21.9649509712706,14.7905,0.00541569949314,4671.7822137652,641708975895055.1
58835.04083989583,Siding Springs,i,SLOAN/SDSS.i,4156.425494358959,22.35367984646229,14.8532,0.005839199945197,7457.889035897,401980314479085.5
58824.03779400463,Siding Springs,r,SLOAN/SDSS.r,3536.714475857597,19.828863495259707,15.0285,0.00608726408167,6141.1230039377,488172045744357.4
58824.03879079861,Siding Springs,i,SLOAN/SDSS.i,2992.815882894017,23.92217887547121,15.2098,0.008678507705821,7457.889035897,401980314479085.5
58835.03885950232,Siding Springs,g,SLOAN/SDSS.g,4577.2011670508655,19.440086932265903,14.7485,0.004611290925543,4671.7822137652,641708975895055.1
58820.0653,Swift,B,Swift/UVOT.B_trn,3292.077420060167,154.6378832052219,15.1063249,0.051,4345.9627250637,689818291056801.1
58821.4641,Swift,B,Swift/UVOT.B_trn,3543.806823271023,156.67040186331732,15.0263249,0.048,4345.9627250637,689818291056801.1
58822.4939,Swift,B,Swift/UVOT.B_trn,3717.663178533459,164.35652766074892,14.9743249,0.048,4345.9627250637,689818291056801.1
58823.8877,Swift,B,Swift/UVOT.B_trn,3765.9108951250455,166.48954154224887,14.9603249,0.048,4345.9627250637,689818291056801.1
58827.1406,Swift,B,Swift/UVOT.B_trn,3939.762480787386,170.54680113412758,14.9113249,0.047,4345.9627250637,689818291056801.1
58829.5625,Swift,B,Swift/UVOT.B_trn,4311.9134998503605,182.68527854544817,14.8133249,0.046,4345.9627250637,689818291056801.1
58831.5553,Swift,B,Swift/UVOT.B_trn,4068.8346380239855,176.13415408739084,14.8763249,0.047,4345.9627250637,689818291056801.1
58833.3388,Swift,B,Swift/UVOT.B_trn,4129.239185122674,182.5521521869507,14.8603249,0.048,4345.9627250637,689818291056801.1
58835.768,Swift,B,Swift/UVOT.B_trn,4331.816388264253,191.50801615112792,14.8083249,0.048,4345.9627250637,689818291056801.1
58839.0815,Swift,B,Swift/UVOT.B_trn,4432.71735395773,191.88612733276673,14.7833249,0.047,4345.9627250637,689818291056801.1
58842.7051,Swift,B,Swift/UVOT.B_trn,4009.313718428234,173.55757682236035,14.8923249,0.047,4345.9627250637,689818291056801.1
58845.4567,Swift,B,Swift/UVOT.B_trn,3752.062292395913,169.3330769681356,14.9643249,0.049,4345.9627250637,689818291056801.1
58848.2047,Swift,B,Swift/UVOT.B_trn,3914.443599516628,173.05611800856855,14.9183249,0.048,4345.9627250637,689818291056801.1
58851.8549,Swift,B,Swift/UVOT.B_trn,3714.2406605769033,164.20521939526537,14.9753249,0.048,4345.9627250637,689818291056801.1
58820.0366,Swift,V,Swift/UVOT.V_trn,3159.046219174567,189.12329104111456,15.151110050000002,0.065,5412.3842111541,553900917422258.0
58821.4677,Swift,V,Swift/UVOT.V_trn,3384.9790099834245,190.1785338870481,15.07611005,0.061,5412.3842111541,553900917422258.0
58822.5001,Swift,V,Swift/UVOT.V_trn,3495.8756808233034,199.6288704946789,15.04111005,0.062,5412.3842111541,553900917422258.0
58823.8939,Swift,V,Swift/UVOT.V_trn,3725.2547744658905,209.2962731154774,14.97211005,0.061,5412.3842111541,553900917422258.0
58827.1468,Swift,V,Swift/UVOT.V_trn,4376.792726046786,241.8705044668825,14.79711005,0.06,5412.3842111541,553900917422258.0
58829.5659,Swift,V,Swift/UVOT.V_trn,4445.862020185855,241.5926244712449,14.78011005,0.059,5412.3842111541,553900917422258.0
58831.559,Swift,V,Swift/UVOT.V_trn,4715.8065355854615,251.9182632625652,14.71611005,0.058,5412.3842111541,553900917422258.0
58833.3428,Swift,V,Swift/UVOT.V_trn,4524.3477683476585,237.52346257373495,14.76111005,0.057,5412.3842111541,553900917422258.0
58835.7714,Swift,V,Swift/UVOT.V_trn,4892.78328417022,288.41087624654847,14.67611005,0.064,5412.3842111541,553900917422258.0
58839.0874,Swift,V,Swift/UVOT.V_trn,5081.079382335098,276.1109763531869,14.635110050000002,0.059,5412.3842111541,553900917422258.0
58842.7087,Swift,V,Swift/UVOT.V_trn,4956.281672782127,260.1995347585521,14.66211005,0.057,5412.3842111541,553900917422258.0
58848.2085,Swift,V,Swift/UVOT.V_trn,4608.461673400783,246.18390349872337,14.74111005,0.058,5412.3842111541,553900917422258.0
58851.8587,Swift,V,Swift/UVOT.V_trn,4474.618151108042,239.0339859967015,14.77311005,0.058,5412.3842111541,553900917422258.0
58820.0643,Swift,U,Swift/UVOT.U_trn,3373.67435607278,139.82710105637048,15.0797421,0.045,3523.7756581698,850770557157739.2
58821.4635,Swift,U,Swift/UVOT.U_trn,3685.5572351641504,149.3590410235497,14.9837421,0.044,3523.7756581698,850770557157739.2
58822.4928,Swift,U,Swift/UVOT.U_trn,3740.2717751741866,151.57637498541928,14.9677421,0.044,3523.7756581698,850770557157739.2
58823.8866,Swift,U,Swift/UVOT.U_trn,3949.1457280365175,160.04109586850888,14.9087421,0.044,3523.7756581698,850770557157739.2
58827.1395,Swift,U,Swift/UVOT.U_trn,3887.793237417302,157.55475565491446,14.9257421,0.044,3523.7756581698,850770557157739.2
58829.5619,Swift,U,Swift/UVOT.U_trn,3820.3500662552983,154.82158758137749,14.9447421,0.044,3523.7756581698,850770557157739.2
58831.5547,Swift,U,Swift/UVOT.U_trn,3795.7985887964624,153.82662673964205,14.9517421,0.044,3523.7756581698,850770557157739.2
58833.3381,Swift,U,Swift/UVOT.U_trn,3471.3880171905944,143.876993406862,15.0487421,0.045,3523.7756581698,850770557157739.2
58835.7673,Swift,U,Swift/UVOT.U_trn,3439.562140550405,145.72587500714818,15.0587421,0.046,3523.7756581698,850770557157739.2
58839.0804,Swift,U,Swift/UVOT.U_trn,3128.262293939727,132.5368583000179,15.1617421,0.046,3523.7756581698,850770557157739.2
58842.7045,Swift,U,Swift/UVOT.U_trn,3040.2070376088436,126.00603727944684,15.1927421,0.045,3523.7756581698,850770557157739.2
58845.4558,Swift,U,Swift/UVOT.U_trn,2702.1108417622972,116.97059470455784,15.3207421,0.047,3523.7756581698,850770557157739.2
58848.204,Swift,U,Swift/UVOT.U_trn,2643.0364955876257,111.97902240361894,15.3447421,0.046,3523.7756581698,850770557157739.2
58851.8543,Swift,U,Swift/UVOT.U_trn,2457.554512731693,106.38409366124138,15.4237421,0.047,3523.7756581698,850770557157739.2
58820.0629,Swift,UVW1,Swift/UVOT.UVW1_trn,3010.0653192050777,124.75676759291956,15.2035602,0.045,2715.6802141471,1103931370263174.8
58821.4624,Swift,UVW1,Swift/UVOT.UVW1_trn,3105.8174092059407,128.7253596239818,15.1695602,0.045,2715.6802141471,1103931370263174.8
58822.4907,Swift,UVW1,Swift/UVOT.UVW1_trn,3117.280766713753,129.2004760340185,15.1655602,0.045,2715.6802141471,1103931370263174.8
58823.8845,Swift,UVW1,Swift/UVOT.UVW1_trn,2987.9678483659836,126.59292415827132,15.2115602,0.046,2715.6802141471,1103931370263174.8
58827.1375,Swift,UVW1,Swift/UVOT.UVW1_trn,2824.723350259279,119.67665215776157,15.2725602,0.046,2715.6802141471,1103931370263174.8
58829.5607,Swift,UVW1,Swift/UVOT.UVW1_trn,2624.073044343279,113.59244772684796,15.3525602,0.047,2715.6802141471,1103931370263174.8
58831.5532,Swift,UVW1,Swift/UVOT.UVW1_trn,2529.157760247362,109.48369798362478,15.3925602,0.047,2715.6802141471,1103931370263174.8
58833.3364,Swift,UVW1,Swift/UVOT.UVW1_trn,2343.019591344681,103.58403808556668,15.4755602,0.048,2715.6802141471,1103931370263174.8
58835.7662,Swift,UVW1,Swift/UVOT.UVW1_trn,2237.566338637147,107.1654874353682,15.5255602,0.052,2715.6802141471,1103931370263174.8
58839.0784,Swift,UVW1,Swift/UVOT.UVW1_trn,1669.4596237139965,84.56960254422455,15.8435602,0.055,2715.6802141471,1103931370263174.8
58842.7032,Swift,UVW1,Swift/UVOT.UVW1_trn,1573.8955954397247,78.27901637735155,15.9075602,0.054,2715.6802141471,1103931370263174.8
58845.4541,Swift,UVW1,Swift/UVOT.UVW1_trn,1380.9435311828586,71.22617575736788,16.049560200000002,0.056,2715.6802141471,1103931370263174.8
