Sector,d_ZP,ZP,Method
17,0.02965943478312207,20.565724282387585,aperture
17,0.03307235941671423,20.421780961306688,psf
18,0.004856493865107433,20.43382602001304,aperture
18,0.009078945643229771,20.326324980869252,psf
21,0.007942678523748517,20.32660721527857,aperture
21,0.01279284163700881,20.243479379825143,psf
24,0.007258126975833793,20.311953064263605,aperture
24,0.007337788554262408,20.326485205190306,psf
