MJD,flux,dflux,uJy,duJy,m,dm,ZP,d_ZP,Method,Sector
58764.19903564453,-0.9548046097450692,4.293264866686548,-24.765298326513992,111.35688407905309,25.0,4.882000575952713,20.365177357908355,0.006027158590948393,aperture,17
58764.21990966797,-3.538750522105219,4.0268588262716065,-91.7865409200759,104.44812035805218,25.0,1.2355090915825973,20.365177357908355,0.006027158590948393,aperture,17
58764.24072265625,-2.055763791927383,4.146963196432781,-53.32148910500188,107.56249868460628,25.0,2.1901957551513807,20.365177357908355,0.006027158590948393,aperture,17
58764.26153564453,-2.8878707298445097,4.209327999571621,-74.90430965986056,109.18047380181316,25.0,1.5825683968995767,20.365177357908355,0.006027158590948393,aperture,17
58764.28240966797,-0.7653902392544133,3.6571956729505195,-19.852352426742517,94.85878270598248,25.0,5.187879628030003,20.365177357908355,0.006027158590948393,aperture,17
58764.30322265625,-0.8042519346596837,4.805583623851893,-20.86032983946427,124.64514961846533,25.0,6.487517346549171,20.365177357908355,0.006027158590948393,aperture,17
58764.32403564453,-0.20702491976633552,3.6435078018362077,-5.369720513189426,94.50369346268279,25.0,19.10827225062677,20.365177357908355,0.006027158590948393,aperture,17
58764.34490966797,-3.3998853406582685,2.691702552016624,-88.18471745734938,69.81790271740941,25.0,0.8596027396383614,20.365177357908355,0.006027158590948393,aperture,17
58764.36572265625,-1.347768203020058,3.4254069395963445,-34.95781365330152,88.84689729728535,25.0,2.7594486895772876,20.365177357908355,0.006027158590948393,aperture,17
58764.38653564453,-1.11910190315825,3.4684665713989253,-29.026768625345714,89.96369129478863,25.0,3.3650606449918747,20.365177357908355,0.006027158590948393,aperture,17
58764.40740966797,-2.1607027577106566,3.4877590088051122,-56.04334943870146,90.46448062859656,25.0,1.7525819360696575,20.365177357908355,0.006027158590948393,aperture,17
58764.42822265625,-1.3102458762867208,4.154857214211975,-33.98457619092256,107.76700806667408,25.0,3.4429307483228935,20.365177357908355,0.006027158590948393,aperture,17
58764.44903564453,-0.43078007246482963,3.5589279924467117,-11.173382385069614,92.3099160317274,25.0,8.969908523649341,20.365177357908355,0.006027158590948393,aperture,17
58764.46990966797,-0.24403803820104497,3.8614996668605364,-6.329750356651237,100.15787119849156,25.0,17.179986701598054,20.365177357908355,0.006027158590948393,aperture,17
58764.49072265625,-2.518269335794202,4.3564210916816615,-65.31775269089574,112.99549912519143,25.0,1.8782536036644135,20.365177357908355,0.006027158590948393,aperture,17
58764.51153564453,-3.2392128581259656,4.08214302446642,-84.01726589483913,105.88184176833887,25.0,1.3682871944231954,20.365177357908355,0.006027158590948393,aperture,17
58764.53240966797,-2.3733852937879405,3.9298289308333376,-61.55981469351399,101.93073201174381,25.0,1.7977618463219478,20.365177357908355,0.006027158590948393,aperture,17
58764.55322265625,-0.2876025661834263,3.578335171235953,-7.45970775413961,92.81327922380481,25.0,13.508670963643283,20.365177357908355,0.006027158590948393,aperture,17
58764.57403564453,-1.604332795533566,3.463444189310667,-41.61247221775274,89.83357567248443,25.0,2.343902207975156,20.365177357908355,0.006027158590948393,aperture,17
58764.59490966797,-1.6428319552961588,4.772490359807577,-42.6110463418296,123.78696343165365,25.0,3.1541114197630433,20.365177357908355,0.006027158590948393,aperture,17
58764.61572265625,-3.044204301550007,3.3263182351417573,-78.95922047849373,86.27767992967505,25.0,1.186369371360453,20.365177357908355,0.006027158590948393,aperture,17
58764.63653564453,0.5462530392611862,3.9011573160183124,14.168468963173748,101.18651811108214,21.021692692089434,7.7539687902881855,20.365177357908355,0.006027158590948393,aperture,17
58764.65740966797,-0.9883509944944846,3.6334895827873464,-25.6354095698155,94.24394808285278,25.0,3.991512842197013,20.365177357908355,0.006027158590948393,aperture,17
58764.67822265625,0.7918868306550151,4.355569746758374,20.539609258113337,112.97289308963231,20.618519556503543,5.971815658334976,20.365177357908355,0.006027158590948393,aperture,17
58764.69903564453,-2.271577804204672,3.9336362744558917,-58.919177200073015,102.02943660266251,25.0,1.880152753905866,20.365177357908355,0.006027158590948393,aperture,17
58764.71990966797,-2.9530051898266363,3.8061731308720494,-76.59373838310943,98.7237455087933,25.0,1.3994348236678038,20.365177357908355,0.006027158590948393,aperture,17
58764.74072265625,-1.3062070813588993,4.241148206044772,-33.87981972007371,110.00518117053213,25.0,3.5253023450138987,20.365177357908355,0.006027158590948393,aperture,17
58764.76153564453,-1.6522272599838854,4.237923824470532,-42.85473758617976,109.92164524927621,25.0,2.784894195040096,20.365177357908355,0.006027158590948393,aperture,17
58764.78240966797,0.4007541342305512,2.7958057981186704,10.394582921476816,72.51639326691236,21.35798232969253,7.574490886564523,20.365177357908355,0.006027158590948393,aperture,17
58764.80322265625,-0.5670402434629471,3.8643098061014842,-14.70763824260174,100.2307864327225,25.0,7.399161705389894,20.365177357908355,0.006027158590948393,aperture,17
58764.82403564453,-1.7683606325322703,3.754186136947621,-45.86695347566195,97.374747200406,25.0,2.3049991432448267,20.365177357908355,0.006027158590948393,aperture,17
58764.84490966797,-0.44862531376562276,4.735371855455424,-11.636244336103518,122.82399111675699,25.0,11.460265882746892,20.365177357908355,0.006027158590948393,aperture,17
58764.86572265625,2.5222177969022894,4.273046622468519,65.42016612320892,110.83298234808599,19.36072089348459,1.839423357470574,20.365177357908355,0.006027158590948393,aperture,17
58764.88653564453,0.39191258001834317,3.817740745442852,10.165254611264908,99.02288162530257,21.38220434756177,10.576491371000815,20.365177357908355,0.006027158590948393,aperture,17
58764.90740966797,-1.7539740039525227,4.300188953212663,-45.4937994868209,111.53667901347322,25.0,2.6618882557500037,20.365177357908355,0.006027158590948393,aperture,17
58764.92822265625,-0.8026517084502133,5.221079828302727,-20.818823882053756,135.42210133876688,25.0,7.062487255808366,20.365177357908355,0.006027158590948393,aperture,17
58764.94903564453,-2.064816526195335,3.657149398288417,-53.55629490980035,94.8579843399169,25.0,1.9230372093828505,20.365177357908355,0.006027158590948393,aperture,17
58764.96990966797,-1.628074296439395,4.363571221417771,-42.2282687342872,113.18061701334874,25.0,2.910000747164916,20.365177357908355,0.006027158590948393,aperture,17
58764.99072265625,-1.3769860559263574,4.203684448898782,-35.715653358199795,109.03348234810768,25.0,3.314557853076997,20.365177357908355,0.006027158590948393,aperture,17
58765.01153564453,-1.0125252358828947,3.691974400328406,-26.2624303169828,95.76090486475674,25.0,3.958928406745036,20.365177357908355,0.006027158590948393,aperture,17
58765.03240966797,-2.3131231607162057,3.473399469234209,-59.99676222384476,90.09210993258024,25.0,1.6303590709096019,20.365177357908355,0.006027158590948393,aperture,17
58765.05322265625,-1.470405857676017,3.0810837219111997,-38.13873472617919,79.91606296444766,25.0,2.2750561476459255,20.365177357908355,0.006027158590948393,aperture,17
58765.07403564453,-1.0916390629255917,2.079549459841877,-28.314449660487796,53.93866022064733,25.0,2.0683134208830323,20.365177357908355,0.006027158590948393,aperture,17
58765.09490966797,-3.73974799597529,3.943681708072438,-96.99992421594945,102.29088363555316,25.0,1.14495878916944,20.365177357908355,0.006027158590948393,aperture,17
58765.11572265625,-2.622051959682745,4.522987034049381,-68.00962034159176,117.31583834678571,25.0,1.8728828722303694,20.365177357908355,0.006027158590948393,aperture,17
58765.13653564453,-1.5905204014168697,3.2584920406778126,-41.254212467629934,84.51763104559728,25.0,2.224351077810467,20.365177357908355,0.006027158590948393,aperture,17
58765.15740966797,-0.11907495287467196,4.382012488568254,-3.088513294823957,113.65869694907146,25.0,39.9555871979088,20.365177357908355,0.006027158590948393,aperture,17
58765.17822265625,-1.1254623824946475,3.546510965275937,-29.191743916266827,91.9879705885849,25.0,3.421332769865742,20.365177357908355,0.006027158590948393,aperture,17
58765.19903564453,-3.692905609240387,3.231730517001279,-95.78494717250436,83.8248786971065,25.0,0.9501671019037993,20.365177357908355,0.006027158590948393,aperture,17
58765.21990966797,0.0,0.0,0.0,0.0,25.0,,20.365177357908355,0.006027158590948393,aperture,17
58765.24072265625,0.9450185133367407,3.642806159233243,24.511470899906794,94.48558784311099,20.426576566367387,4.185241431166429,20.365177357908355,0.006027158590948393,aperture,17
58765.26153564453,-1.2315135583965062,3.367334311302298,-31.942452262541337,87.34060329848218,25.0,2.968740607864488,20.365177357908355,0.006027158590948393,aperture,17
58765.28240966797,-3.004013802087758,3.8823073624203985,-77.91677713572443,100.69849474990846,25.0,1.4031894738687014,20.365177357908355,0.006027158590948393,aperture,17
58765.30322265625,-2.828252898979857,3.782326239157312,-73.35796881496562,98.10514497992988,25.0,1.4520073210645512,20.365177357908355,0.006027158590948393,aperture,17
58765.32403564453,-0.6794132288115722,3.743686985533383,-17.622318877357714,97.10214125637378,25.0,5.982601441688972,20.365177357908355,0.006027158590948393,aperture,17
58765.34490966797,-4.8156089071447745,5.122572875140165,-124.90512717685823,132.86883158230953,25.0,1.1549606024463634,20.365177357908355,0.006027158590948393,aperture,17
58765.36572265625,-0.6936410522621359,2.78799661284677,-17.99135384921888,72.31388809553594,25.0,4.363974332902138,20.365177357908355,0.006027158590948393,aperture,17
58765.38653564453,0.07494952501414365,3.7662147652606754,1.944007525164104,97.68640813061289,23.1782551456811,54.5582610392581,20.365177357908355,0.006027158590948393,aperture,17
58765.40740966797,-3.859659938016104,3.642412490330774,-100.11014696439776,94.47691354242195,25.0,1.02464144402156,20.365177357908355,0.006027158590948393,aperture,17
58765.42822265625,-0.5804569173332408,3.6432844096040156,-15.055633976552043,94.49793147215662,25.0,6.814713059168696,20.365177357908355,0.006027158590948393,aperture,17
58765.44903564453,-1.82387858452508,4.281980582347246,-47.30695348147059,111.06442292776688,25.0,2.5490262246643574,20.365177357908355,0.006027158590948393,aperture,17
58765.46990966797,-2.283483445321076,3.5156997696717776,-59.22798043688906,91.18925346270257,25.0,1.6716334617355415,20.365177357908355,0.006027158590948393,aperture,17
58765.49072265625,-1.3737689284201107,4.170901482633153,-35.63220893236286,108.18317288361779,25.0,3.2964104967028995,20.365177357908355,0.006027158590948393,aperture,17
58765.51153564453,0.8053374921808099,3.309444939529599,20.88848654879191,85.83899278135881,20.60023256296439,4.46171636346163,20.365177357908355,0.006027158590948393,aperture,17
58765.53240966797,1.1831023114208286,4.903360092767948,30.68678281826487,127.18129257928477,20.182621600809764,4.499830912189241,20.365177357908355,0.006027158590948393,aperture,17
58765.55322265625,-1.1163652554983061,2.624782250785324,-28.95578667257617,68.08062717630719,25.0,2.5527747736159343,20.365177357908355,0.006027158590948393,aperture,17
58765.57403564453,-1.3394682561265296,3.4321750361366594,-34.742533313413624,89.0224421673815,25.0,2.7820334120481562,20.365177357908355,0.006027158590948393,aperture,17
58765.59490966797,-3.755742495073858,3.9874599638817037,-97.41478243690521,103.42638106607373,25.0,1.1527384616731933,20.365177357908355,0.006027158590948393,aperture,17
58765.61572265625,-0.6556486338434779,3.2843991015193237,-17.005923357282914,85.18933893436622,25.0,5.4388784188446815,20.365177357908355,0.006027158590948393,aperture,17
58765.63653564453,-2.4351525545946306,2.7007802416565,-63.16190649855639,70.05251706576267,25.0,1.204183949299783,20.365177357908355,0.006027158590948393,aperture,17
58765.65740966797,-0.8190754115657835,3.289244841310273,-21.244814606367278,85.31505478881229,25.0,4.360106007579605,20.365177357908355,0.006027158590948393,aperture,17
58765.67822265625,-2.408717070852359,4.293197293485583,-62.47623465051423,111.35558662166241,25.0,1.9351805158159248,20.365177357908355,0.006027158590948393,aperture,17
58765.69903564453,-2.6533704800561786,3.91769437433831,-68.82194622719904,101.6161366142002,25.0,1.6030979150961966,20.365177357908355,0.006027158590948393,aperture,17
58765.71990966797,-0.426412028812273,2.8387166195998055,-11.060086006884253,73.62939775609347,25.0,7.227982027315916,20.365177357908355,0.006027158590948393,aperture,17
58765.74072265625,0.5419584053806848,3.426250081330612,14.057076655084488,88.8685886631165,21.030262467239666,6.8640049808936245,20.365177357908355,0.006027158590948393,aperture,17
58765.76153564453,-2.638244384628157,4.253692556690335,-68.42961227534444,110.33104413829855,25.0,1.7505639027693143,20.365177357908355,0.006027158590948393,aperture,17
58765.78240966797,-2.32929746003527,3.9190121531452835,-60.41628402314347,101.65015166976758,25.0,1.8267467400799497,20.365177357908355,0.006027158590948393,aperture,17
58765.80322265625,-2.860256118579647,3.8629735748257032,-74.18805412530922,100.19694097898535,25.0,1.4663741718194634,20.365177357908355,0.006027158590948393,aperture,17
58765.82403564453,-1.2830179163035589,4.152430827654496,-33.27834944576114,107.70406682950599,25.0,3.5139424491913593,20.365177357908355,0.006027158590948393,aperture,17
58765.84490966797,-2.6589902570858395,3.90831227566713,-68.96770951033315,101.3727926784275,25.0,1.595878882593862,20.365177357908355,0.006027158590948393,aperture,17
58765.86572265625,-1.3379893989048008,3.9131848642693923,-34.70417537095646,101.49863558404228,25.0,3.1754318380771047,20.365177357908355,0.006027158590948393,aperture,17
58765.88653564453,-3.898734321177214,5.492181621989265,-101.1236409777622,142.45487611734492,25.0,1.5294980980653992,20.365177357908355,0.006027158590948393,aperture,17
58765.90740966797,-1.338767980657569,3.287505571802539,-34.724369879007725,85.27007875593607,25.0,2.6661624677562727,20.365177357908355,0.006027158590948393,aperture,17
58765.92822265625,-0.5376553104990642,4.136635886484403,-13.94546488930229,107.29425415097404,25.0,8.353486758522902,20.365177357908355,0.006027158590948393,aperture,17
58765.94903564453,-1.2675758472082719,3.8551406496472653,-32.87781990912061,99.9930942325733,25.0,3.302108319048821,20.365177357908355,0.006027158590948393,aperture,17
58765.96990966797,-1.9043542535715412,4.922390835076755,-49.39429567862813,127.67508388352535,25.0,2.806426513696665,20.365177357908355,0.006027158590948393,aperture,17
