MJD,flux,dflux,uJy,duJy,m,dm,ZP,d_ZP,Method,Sector
58790.17821210411,-1.030509194156093,4.142879439533375,-25.20880934687321,101.34520962989939,25.0,4.36490917757812,20.428748842907588,0.006403034209263622,aperture,18
58790.19904522196,4.2622488769203155,5.342059317551008,104.26517292278872,130.68145960621544,18.854651830402133,1.3608148148392316,20.428748842907588,0.006403034209263622,aperture,18
58790.219878339056,3.9732240421435563,5.346720214878778,97.19490902051902,130.79528607123564,18.930891206053648,1.4610762943278992,20.428748842907588,0.006403034209263622,aperture,18
58790.24071145551,5.593218070926309,5.663933483845524,136.82397865545875,138.55620255357388,18.559594462585494,1.0994818816446847,20.428748842907588,0.006403034209263622,aperture,18
58790.26154457126,2.986435383594346,4.531110481858668,73.05561235039553,110.8430315657563,19.24086603662126,1.6473243949947975,20.428748842907588,0.006403034209263622,aperture,18
58790.28237768637,5.110966004657717,3.9871430632295537,125.02689769330759,97.53818974365119,18.65749136221714,0.8470236877429838,20.428748842907588,0.006403034209263622,aperture,18
58790.30321080091,6.477947040691165,3.699194216374134,158.46664234922832,90.49628578893564,18.400155359929975,0.620036446917653,20.428748842907588,0.006403034209263622,aperture,18
58790.324043914916,2.8962160603546496,3.0591578455788353,70.84862406552543,74.8357504442024,19.274171449164175,1.1468378495589098,20.428748842907588,0.006403034209263622,aperture,18
58790.34487702834,2.8478400038600915,3.342108186501007,69.66522580761512,81.75728305138553,19.29245987715333,1.2741915522772098,20.428748842907588,0.006403034209263622,aperture,18
58790.36571014124,3.4861858165403854,3.4075584784999915,85.28074673696541,83.35884436011749,19.07287251380725,1.0612678567148075,20.428748842907588,0.006403034209263622,aperture,18
58790.38654325368,4.368255558996638,3.107377880443484,106.85835913899228,76.0167778288665,18.827978747251407,0.7723697848523203,20.428748842907588,0.006403034209263622,aperture,18
58790.40737636565,-0.8851780647380604,4.566580424429721,-21.653649670044548,111.70994995127204,25.0,5.60125147224501,20.428748842907588,0.006403034209263622,aperture,18
58790.42820947721,-3.8430609868025596,4.053144976491836,-94.01079803470218,99.1515232593556,25.0,1.1451067410348164,20.428748842907588,0.006403034209263622,aperture,18
58790.44904258831,2.951879280445321,2.969624722884378,72.21028440864143,72.64563012203182,19.25350236120596,1.0922819566061532,20.428748842907588,0.006403034209263622,aperture,18
58790.469875699,2.703695142735061,3.830273572036975,66.13908519379153,93.69879802439662,19.34885454086891,1.5381551930953603,20.428748842907588,0.006403034209263622,aperture,18
58790.49070880934,4.058775167675452,3.699824449904686,99.28770161778459,90.50877136078915,18.90776135636252,0.9897363753355573,20.428748842907588,0.006403034209263622,aperture,18
58790.51154191927,1.0981821801306852,4.559596855282803,26.864258333686145,111.53915406516771,20.3270628622435,4.507926342593006,20.428748842907588,0.006403034209263622,aperture,18
58790.53237502892,0.6698419544842928,4.231890677801671,16.385994631478972,103.52258122232388,20.863817979409767,6.859407498350087,20.428748842907588,0.006403034209263622,aperture,18
58790.553208138146,1.3986913317302343,4.472351903772383,34.21545709311825,109.40499984993649,20.06444413444223,3.4716756521871788,20.428748842907588,0.006403034209263622,aperture,18
58790.57404124715,0.6024423417362565,4.689371951910133,14.737233031433535,114.71369502660663,20.97896012293983,8.451302331062761,20.428748842907588,0.006403034209263622,aperture,18
58790.594874355804,0.8815510405175941,3.789158797682911,21.564923666833,92.69230412040702,20.565630186958984,4.666809493082561,20.428748842907588,0.006403034209263622,aperture,18
58790.88653785127,0.8782646773336613,10.923126894856912,21.484531077016086,267.2067904701789,20.569685302051287,13.503487021927866,20.428748842907588,0.006403034209263622,aperture,18
58790.90737095661,-0.9924846221064829,12.328480171091046,-24.278634058063638,301.58521918833605,25.0,13.486837460031635,20.428748842907588,0.006403034209263622,aperture,18
58790.92820406183,-2.493091928692481,11.413270646155176,-60.987208528599986,279.197123235134,25.0,4.970459089278484,20.428748842907588,0.006403034209263622,aperture,18
58790.94903716687,-4.312710286691526,9.784774975210397,-105.49958409108365,239.36065931038436,25.0,2.463351263865546,20.428748842907588,0.006403034209263622,aperture,18
58790.9698702718,-2.1971136816190358,12.111168007537971,-53.746846925221554,296.2693605550012,25.0,5.98491613029221,20.428748842907588,0.006403034209263622,aperture,18
58790.99070337661,-6.716556155708739,11.842648094865595,-164.30361277415503,289.70214877403765,25.0,1.9143834162219697,20.428748842907588,0.006403034209263622,aperture,18
58791.011536481245,-2.245954403976296,11.535727593556901,-54.94161206196157,282.1926780699335,25.0,5.576589324547812,20.428748842907588,0.006403034209263622,aperture,18
58791.032369585766,-4.866234373229717,11.340100447262461,-119.04015534030029,277.4078554336543,25.0,2.530169347205657,20.428748842907588,0.006403034209263622,aperture,18
58791.05320269017,-2.551690644056893,10.350155933754843,-62.42067836270745,253.19073803383503,25.0,4.4039628886346875,20.428748842907588,0.006403034209263622,aperture,18
58791.07403579446,-3.7997365644825023,10.027459413829817,-92.95097527084596,245.29712614048847,25.0,2.865252032028799,20.428748842907588,0.006403034209263622,aperture,18
58791.094868898625,-5.8169406622369895,9.85323966910572,-142.29678780934304,241.0361276582699,25.0,1.8391254959593886,20.428748842907588,0.006403034209263622,aperture,18
58791.11570200268,-4.184303785596986,9.170823172317792,-102.35844277633568,224.34187985258495,25.0,2.3796385973914247,20.428748842907588,0.006403034209263622,aperture,18
58791.13653510668,-2.7346039903212795,8.078055954624407,-66.89519222355038,197.60966658253236,25.0,3.2072853412521507,20.428748842907588,0.006403034209263622,aperture,18
58791.15736821056,-5.571956209480745,8.191688333935044,-136.3038608199456,200.39061471133715,25.0,1.5962229109067032,20.428748842907588,0.006403034209263622,aperture,18
58791.178201314324,-0.10593630805622656,8.148068238149271,-2.591464693226729,199.321947372638,25.0,83.50916577447408,20.428748842907588,0.006403034209263622,aperture,18
58791.199034417965,-0.9231569172453278,9.628074987093882,-22.58270654551741,235.52661820553683,25.0,11.323699223322546,20.428748842907588,0.006403034209263622,aperture,18
58791.219867521555,-3.876361770268976,8.747749575183168,-94.82541774529471,213.9923695089824,25.0,2.450179167593602,20.428748842907588,0.006403034209263622,aperture,18
58791.24070062509,-1.9915604295551006,7.254434039953417,-48.71850484802839,177.4616717132683,25.0,3.9548948092111758,20.428748842907588,0.006403034209263622,aperture,18
58791.2615337285,-5.0139283109421955,7.850343312400475,-122.6531151650128,192.0402193517178,25.0,1.6999569773612198,20.428748842907588,0.006403034209263622,aperture,18
58791.28236683186,-8.36216903194602,6.8689896798335,-204.55938292261783,168.03684507981848,25.0,0.8918861791126341,20.428748842907588,0.006403034209263622,aperture,18
58791.30319993509,-0.7808993304442744,7.980845505435534,-19.102733339891824,195.23129673154864,25.0,11.09630142408302,20.428748842907588,0.006403034209263622,aperture,18
58791.324033038276,-2.1517175932247925,8.36755582780053,-52.63634607388132,204.69139267978184,25.0,4.222193833950043,20.428748842907588,0.006403034209263622,aperture,18
58791.3448661414,-1.4112688000303124,7.580407279831532,-34.52313314515257,185.4356643795963,25.0,5.831863916400493,20.428748842907588,0.006403034209263622,aperture,18
58791.36569924447,-3.6749578833910777,8.3004314713594,-89.89857942612576,203.0498212982462,25.0,2.4523028479480726,20.428748842907588,0.006403034209263622,aperture,18
58791.386532347475,-1.8965670232403036,5.570303847399054,-46.39473065699768,136.26371464236473,25.0,3.1888631809468464,20.428748842907588,0.006403034209263622,aperture,18
